payload_type,payload_bytes,preset,container_bytes,deflated_bytes,compressed,compression_ratio,container_overhead_factor,deflate_ratio,image_embed_time_s,video_embed_time_s
text_message,24,no_compression,150,24,0,0.16,6.25,1.0,1.0324790477752686,0.9395999908447266
text_message,24,chat_standard,150,24,0,0.16,6.25,1.0,0.607650876045227,0.7162082195281982
text_message,24,chat_hd,150,24,0,0.16,6.25,1.0,0.5966769456863403,0.7159609794616699
text_message,48,no_compression,174,48,0,0.27586206896551724,3.625,1.0,1.0324790477752686,0.9395999908447266
text_message,48,chat_standard,174,48,0,0.27586206896551724,3.625,1.0,0.607650876045227,0.7162082195281982
text_message,48,chat_hd,174,48,0,0.27586206896551724,3.625,1.0,0.5966769456863403,0.7159609794616699
text_message,64,no_compression,190,64,0,0.3368421052631579,2.96875,1.0,1.0324790477752686,0.9395999908447266
text_message,64,chat_standard,190,64,0,0.3368421052631579,2.96875,1.0,0.607650876045227,0.7162082195281982
text_message,64,chat_hd,190,64,0,0.3368421052631579,2.96875,1.0,0.5966769456863403,0.7159609794616699
text_message,91,no_compression,217,91,0,0.41935483870967744,2.3846153846153846,1.058139534883721,1.0324790477752686,0.9395999908447266
text_message,91,chat_standard,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.607650876045227,0.7162082195281982
text_message,91,chat_hd,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.5966769456863403,0.7159609794616699
text_message,91,no_compression,217,91,0,0.41935483870967744,2.3846153846153846,1.058139534883721,1.0324790477752686,0.9395999908447266
text_message,91,chat_standard,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.607650876045227,0.7162082195281982
text_message,91,chat_hd,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.5966769456863403,0.7159609794616699
text_message,91,no_compression,217,91,0,0.41935483870967744,2.3846153846153846,1.058139534883721,1.0324790477752686,0.9395999908447266
text_message,91,chat_standard,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.607650876045227,0.7162082195281982
text_message,91,chat_hd,212,86,1,0.42924528301886794,2.32967032967033,1.058139534883721,0.5966769456863403,0.7159609794616699
text_message,455,no_compression,645,455,0,0.7054263565891473,1.4175824175824177,4.7894736842105265,1.0324790477752686,0.9395999908447266
text_message,455,chat_standard,221,95,1,2.0588235294117645,0.4857142857142857,4.7894736842105265,0.607650876045227,0.7162082195281982
text_message,455,chat_hd,221,95,1,2.0588235294117645,0.4857142857142857,4.7894736842105265,0.5966769456863403,0.7159609794616699
text_message,2002,no_compression,2384,2002,0,0.839765100671141,1.190809190809191,19.25,1.0324790477752686,0.9395999908447266
text_message,2002,chat_standard,230,104,1,8.704347826086957,0.11488511488511488,19.25,0.607650876045227,0.7162082195281982
text_message,2002,chat_hd,230,104,1,8.704347826086957,0.11488511488511488,19.25,0.5966769456863403,0.7159609794616699
text_file,16,no_compression,163,16,0,0.09815950920245399,10.1875,1.0,1.0324790477752686,0.9395999908447266
text_file,16,chat_standard,163,16,0,0.09815950920245399,10.1875,1.0,0.607650876045227,0.7162082195281982
text_file,16,chat_hd,163,16,0,0.09815950920245399,10.1875,1.0,0.5966769456863403,0.7159609794616699
text_file,32,no_compression,179,32,0,0.1787709497206704,5.59375,1.0,1.0324790477752686,0.9395999908447266
text_file,32,chat_standard,179,32,0,0.1787709497206704,5.59375,1.0,0.607650876045227,0.7162082195281982
text_file,32,chat_hd,179,32,0,0.1787709497206704,5.59375,1.0,0.5966769456863403,0.7159609794616699
text_file,48,no_compression,195,48,0,0.24615384615384617,4.0625,1.0,1.0324790477752686,0.9395999908447266
text_file,48,chat_standard,195,48,0,0.24615384615384617,4.0625,1.0,0.607650876045227,0.7162082195281982
text_file,48,chat_hd,195,48,0,0.24615384615384617,4.0625,1.0,0.5966769456863403,0.7159609794616699
text_file,64,no_compression,211,64,0,0.3033175355450237,3.296875,1.0,1.0324790477752686,0.9395999908447266
text_file,64,chat_standard,211,64,0,0.3033175355450237,3.296875,1.0,0.607650876045227,0.7162082195281982
text_file,64,chat_hd,211,64,0,0.3033175355450237,3.296875,1.0,0.5966769456863403,0.7159609794616699
text_file,96,no_compression,243,96,0,0.3950617283950617,2.53125,1.054945054945055,1.0324790477752686,0.9395999908447266
text_file,96,chat_standard,238,91,1,0.40336134453781514,2.4791666666666665,1.054945054945055,0.607650876045227,0.7162082195281982
text_file,96,chat_hd,238,91,1,0.40336134453781514,2.4791666666666665,1.054945054945055,0.5966769456863403,0.7159609794616699
text_file,128,no_compression,275,128,0,0.46545454545454545,2.1484375,1.1743119266055047,1.0324790477752686,0.9395999908447266
text_file,128,chat_standard,256,109,1,0.5,2.0,1.1743119266055047,0.607650876045227,0.7162082195281982
text_file,128,chat_hd,256,109,1,0.5,2.0,1.1743119266055047,0.5966769456863403,0.7159609794616699
text_file,160,no_compression,307,160,0,0.5211726384364821,1.91875,1.25,1.0324790477752686,0.9395999908447266
text_file,160,chat_standard,275,128,1,0.5818181818181818,1.71875,1.25,0.607650876045227,0.7162082195281982
text_file,160,chat_hd,275,128,1,0.5818181818181818,1.71875,1.25,0.5966769456863403,0.7159609794616699
text_file,256,no_compression,435,256,0,0.5885057471264368,1.69921875,1.3473684210526315,1.0324790477752686,0.9395999908447266
text_file,256,chat_standard,337,190,1,0.7596439169139466,1.31640625,1.3473684210526315,0.607650876045227,0.7162082195281982
text_file,256,chat_hd,337,190,1,0.7596439169139466,1.31640625,1.3473684210526315,0.5966769456863403,0.7159609794616699
text_file,309,no_compression,488,309,0,0.6331967213114754,1.5792880258899675,1.3612334801762114,1.0324790477752686,0.9395999908447266
text_file,309,chat_standard,406,227,1,0.7610837438423645,1.313915857605178,1.3612334801762114,0.607650876045227,0.7162082195281982
text_file,309,chat_hd,406,227,1,0.7610837438423645,1.313915857605178,1.3612334801762114,0.5966769456863403,0.7159609794616699
text_file,927,no_compression,1202,927,0,0.7712146422628952,1.296655879180151,3.8625,1.0324790477752686,0.9395999908447266
text_file,927,chat_standard,419,240,1,2.2124105011933173,0.4519956850053937,3.8625,0.607650876045227,0.7162082195281982
text_file,927,chat_hd,419,240,1,2.2124105011933173,0.4519956850053937,3.8625,0.5966769456863403,0.7159609794616699
text_file,1854,no_compression,2257,1854,0,0.821444395214887,1.2173678532901835,7.56734693877551,1.0324790477752686,0.9395999908447266
text_file,1854,chat_standard,424,245,1,4.372641509433962,0.22869471413160733,7.56734693877551,0.607650876045227,0.7162082195281982
text_file,1854,chat_hd,424,245,1,4.372641509433962,0.22869471413160733,7.56734693877551,0.5966769456863403,0.7159609794616699
text_file,4017,no_compression,4740,4017,0,0.8474683544303797,1.1799850634802092,15.39080459770115,1.0324790477752686,0.9395999908447266
text_file,4017,chat_standard,440,261,1,9.129545454545454,0.1095344784665173,15.39080459770115,0.607650876045227,0.7162082195281982
