n_emb,extract_ok_rate,payload_bytes,bpp,psnr,psnr_std,ssim,ssim_std,ber,ber_std,nc,nc_std,model_capacity_bytes,container_bytes,runtime_s,residual_bit_errors,combo,combo_label,cover_type,payload_type,payload_type_id,preset,preset_label,model_expected_ber,channel_preset,channel_label
1,0.0,64.0,0.00010737666377314815,42.558272426905035,0.0,0.9780032509170867,0.0,1.0,0.0,0.0,0.0,601.0,190.0,1.138664960861206,12.0,video::text_message,video x text message,video,text message,text_message,light,Light (CRF 18),0.0,no_compression,No compression
1,0.0,64.0,0.00010737666377314815,41.65383087336156,0.0,0.972018989504082,0.0,1.0,0.0,0.0,0.0,0.0,190.0,0.646665096282959,16.0,video::text_message,video x text message,video,text message,text_message,standard,Standard (CRF 23),0.0006,no_compression,No compression
1,0.0,64.0,0.00010737666377314815,39.80428851970757,0.0,0.9621839803431718,0.0,1.0,0.0,0.0,0.0,0.0,190.0,1.1930632591247559,18.0,video::text_message,video x text message,video,text message,text_message,heavy,Heavy (CRF 28),0.006,no_compression,No compression
1,0.0,96.0,0.0001373291015625,42.49186308499698,0.0,0.9772078394177157,0.0,1.0,0.0,0.0,0.0,601.0,243.0,1.2991750240325928,14.0,video::text_file,video x text file,video,text file,text_file,light,Light (CRF 18),0.0,no_compression,No compression
1,0.0,96.0,0.0001373291015625,41.57714818867685,0.0,0.9712413661448352,0.0,1.0,0.0,0.0,0.0,0.0,243.0,0.853795051574707,10.0,video::text_file,video x text file,video,text file,text_file,standard,Standard (CRF 23),0.0006,no_compression,No compression
1,0.0,96.0,0.0001373291015625,39.83219481337786,0.0,0.9615121750741604,0.0,1.0,0.0,0.0,0.0,0.0,243.0,1.1315691471099854,21.0,video::text_file,video x text file,video,text file,text_file,heavy,Heavy (CRF 28),0.006,no_compression,No compression
1,0.0,120.0,0.00014863190827546296,42.465815264302826,0.0,0.97711035041946,0.0,1.0,0.0,0.0,0.0,234.0,263.0,1.3506722450256348,18.0,video::image,video x image,video,image,image,light,Light (CRF 18),0.0,no_compression,No compression
1,0.0,120.0,0.00014863190827546296,41.543233409283,0.0,0.970968975390573,0.0,1.0,0.0,0.0,0.0,0.0,263.0,0.6675629615783691,20.0,video::image,video x image,video,image,image,standard,Standard (CRF 23),0.0006,no_compression,No compression
1,0.0,120.0,0.00014863190827546296,39.798052651035,0.0,0.9616476389798377,0.0,1.0,0.0,0.0,0.0,0.0,263.0,1.2355570793151855,17.0,video::image,video x image,video,image,image,heavy,Heavy (CRF 28),0.006,no_compression,No compression
3,0.3333333333333333,128.0,0.006622314453125,20.831789961873906,2.602932763017811,0.6322333690183694,0.018293144462353545,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,338.0,217.0,0.21600095431009927,0.0,image::text_message,image x text message,image,text message,text_message,light,Light,0.0,no_compression,No compression
2,0.0,88.0,0.0059661865234375,14.737939529673792,0.0777826592743569,0.5414068637171094,0.0014572579724116408,1.0,0.0,0.0,0.0,146.0,195.5,0.6134254932403564,12.0,image::text_message,image x text message,image,text message,text_message,standard,Standard,0.0005,no_compression,No compression
1,1.0,32.0,0.00482177734375,23.291253864051093,0.0,0.6817976992583353,0.0,0.0,0.0,1.0,0.0,0.0,158.0,0.13743090629577637,0.0,image::text_message,image x text message,image,text message,text_message,heavy,Heavy,0.005,no_compression,No compression
3,0.3333333333333333,160.0,0.009368896484375,20.007727016713872,2.5474449633081786,0.5687778739503037,0.0072910594711741595,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,242.0,307.0,0.25418591499328613,0.0,image::text_file,image x text file,image,text file,text_file,light,Light,0.0,no_compression,No compression
2,0.0,112.0,0.007904052734375,14.15136543520143,0.3475281503778245,0.48521638607748807,0.000792166791978105,1.0,0.0,0.0,0.0,50.0,259.0,0.5679703950881958,15.0,image::text_file,image x text file,image,text file,text_file,standard,Standard,0.0005,no_compression,No compression
1,1.0,16.0,0.004974365234375,23.72612451644372,0.0,0.6833254801440783,0.0,0.0,0.0,1.0,0.0,0.0,163.0,0.09894204139709473,0.0,image::text_file,image x text file,image,text file,text_file,heavy,Heavy,0.005,no_compression,No compression
